Excel Raw Data Export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,Run 2024-03-29 71C S315T OLAGEN PCR 1.rex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,3/29/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,10:07:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Cycling A.g2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Page 1, Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Wild-Type (S315), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), Mutant (S315T), OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, OLA NTC, PCR NTC, PCR NTC
11,15.17411634,15.53606851,15.51711735,15.84289747,16.25510905,15.54398413,15.37898128,15.9763133,15.52481498,15.80376898,15.63650662,15.7535232,15.42877852,15.78840823,16.06399399,15.93837535,16.06022954,15.78883694,15.43183032,15.39090344,15.3280944,15.52441988,14.73389356,14.53750492,15.6525775,15.51260777,15.52592762,14.49739325,15.28058798,15.00092644,15.35019455,15.20419841
12,15.28071151,15.65951253,15.7112275,15.88487655,16.3042649,15.63977937,15.67498283,16.17347328,15.77935454,15.87385149,15.81587447,15.71587701,15.78173877,15.99243588,16.32058031,16.02306292,16.42154138,15.98018675,15.74142497,15.67111721,15.35444165,15.68265049,14.94010834,14.78624653,16.08443325,15.57241873,15.75074388,14.60495482,15.30422675,15.16779474,15.5808601,15.30621587
13,15.538262,15.89282618,15.94934005,15.90934234,16.50012534,15.97063728,16.19073777,16.20889601,15.92460136,16.1706213,16.0853933,15.94567788,15.79321482,15.97063728,16.33236693,16.1965798,16.80523032,16.13132932,16.11416292,15.97446657,15.77139805,15.86574408,15.15284454,15.02393123,16.14684265,15.72055645,15.81019957,14.88909961,15.45444637,15.14040843,15.82489685,15.38157092
14,15.69905394,16.06418962,16.02947534,16.05543385,16.48737316,16.10873143,16.30626031,16.56290532,16.12278426,16.24475471,16.10178941,16.21968632,16.29074976,16.29074976,16.47831312,16.35636356,16.7817549,16.49118791,16.06387661,16.18360963,15.96616857,16.20355535,15.40988276,15.22075696,16.42023346,15.93235167,15.9137293,14.92942702,15.7304083,15.24884922,15.90882148,15.53989689
15,15.75913634,16.15690634,16.14426315,16.48960332,17.02366909,16.39124132,16.28955084,16.51865415,16.24742504,16.66449519,16.33510992,16.51577842,16.41807177,16.81213601,16.66641235,16.66249978,17.10172486,16.70201673,16.22735943,16.48344941,16.16989014,16.05942695,15.71384974,15.46715496,16.57009886,15.79450457,16.07598993,15.17870395,15.77782864,15.48234858,16.14799456,15.77899551
16,16.03011114,16.31494621,16.27797243,16.51229623,17.06522058,16.60463287,16.44523478,17.00031105,16.46885888,16.72064546,16.552333,16.71449783,16.64781088,16.90525237,17.11642634,16.81042845,17.28765799,16.91538872,16.44241773,16.64718598,16.15425697,16.31276635,15.25425345,15.61516747,16.72222338,16.1081356,16.09655146,15.00877394,15.90040945,15.68790941,16.28290227,15.61220957
17,15.96225935,16.6317889,16.35986496,16.51601317,17.34833413,16.80272628,16.81467918,17.29721107,16.31283342,16.78525107,16.68606742,16.67952784,16.78245917,17.31484812,17.09588115,16.87660538,17.66373475,17.19030543,16.79384475,17.00394974,16.35004196,16.40006976,15.75364896,15.97690801,17.01130258,16.33084103,16.32586228,15.46371078,16.07919432,15.74781923,16.40148666,15.79731324
18,15.93334351,16.65467744,16.45342184,16.68072677,17.41359579,17.02510109,16.98892547,17.38756008,16.54747023,17.07402386,16.91910811,16.90933598,16.87397138,17.20515755,17.35291183,16.93642438,17.79791969,17.30133298,17.07057298,17.07891457,16.70628144,16.75440604,15.8268755,16.05543385,16.90884914,16.36397854,16.4236374,15.41402813,16.05961191,15.83897372,16.52748259,15.8030908
19,16.45663713,16.89831036,16.8837556,16.66790646,17.54980799,16.97926854,17.32895908,17.65599625,16.80150556,16.98258711,17.17600384,16.9953896,16.95911169,17.56933318,17.48714427,17.20263981,17.6487021,17.45810127,17.22802261,16.90558774,16.99181099,16.89184623,16.08805629,16.38938844,17.22153557,16.33466556,16.63503354,15.6084535,16.32621441,15.96675441,16.70252537,15.73968109
20,16.48643414,17.1108132,17.02365842,16.94514382,17.72936217,17.01806014,17.53655807,17.58144503,17.00646601,17.26176852,17.52346075,17.35266869,16.88115129,17.54318848,17.59605009,17.43593936,18.13880624,17.7763536,17.70558807,17.01279215,17.16534324,16.74797545,16.13814501,16.38579167,17.4841942,16.56038171,16.74928337,15.77420462,16.47882811,16.08667124,16.90220057,15.89673163
