"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-15 braf group 3.rex"
"Date","4/15/2024"
"Time","3:30:18 PM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Page 1"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF WT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF MUT"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," BRAF NTC"," PCR NTC"," PCR NTC"
"12","2.39844896530368","2.1617964955113","2.13216220340276","2.40136313928944","2.15161745632105","2.12285692487112","2.36244872088314","2.20149538414588","2.38335022725043","2.32230575558568","2.43600747692073","2.36686503395132","2.38231479362173","2.14303425650416","2.26150442218192","2.33615625238422","2.35837720302129","2.29972533760586","2.329943650612","2.32124936176206","2.33639100656725","2.41804633656316","2.3311970702678","2.26455622656126","2.45609216449226","2.33251756254732"
"13","2.37604769534273","2.18825273299981","2.12468416068648","2.41194272780448","2.17219112618518","2.12510490577554","2.36550052526248","2.2472470181328","2.41641870756084","2.34585663058998","2.41538578915553","2.3611810482948","2.40111608845873","2.14072339501499","2.29279519849444","2.32995727473869","2.30462094046438","2.2919050888838","2.30767274484372","2.32641395378864","2.29854725135648","2.44185041072201","2.32187816760946","2.2545204852369","2.46687520663259","2.34062496593968"
"14","2.39698888634572","2.18957427328908","2.1384172803935","2.40502530454464","2.16032536929767","2.19882505531395","2.3773556115053","2.27228634644519","2.44032450853234","2.35798839140565","2.4258793011368","2.33369133346245","2.36559718874961","2.171576801927","2.30703695226469","2.33397639211326","2.27719103205484","2.29742181218492","2.31817240514883","2.35159479218559","2.30466717992468","2.43510514052972","2.31733679204496","2.28192803610519","2.43440087798064","2.35470183284328"
"15","2.40144306749937","2.19605935759518","2.1253910124361","2.40209702558066","2.19038172986445","2.19904304134105","2.36602033809633","2.23415555985938","2.40130053817396","2.34781850483384","2.41724705446381","2.3675326161593","2.37623661656621","2.14138573717425","2.28990234225986","2.35573866381832","2.25003814755474","2.31819755738272","2.29549544697714","2.329700512351","2.29933114620686","2.44881869738816","2.33539330128939","2.26026805015132","2.47339208056763","2.32557030594339"
"16","2.44307839867464","2.1929562007383","2.15108611538","2.41409464114889","2.18720472325416","2.20372974092361","2.35294117647059","2.28071513949289","2.43561733147451","2.39751931901165","2.42322804608225","2.35650161491315","2.40383450244369","2.17506457836053","2.26792662590328","2.3422598611429","2.28011402650908","2.31212329289693","2.31751844706754","2.31664650295916","2.33646143282216","2.44320415984412","2.33474772728606","2.24285823278728","2.43686579690242","2.36657256936497"
"17","2.40349940235498","2.22734035248341","2.16868848706798","2.48138623725984","2.1943427176318","2.21619686485789","2.36656530316407","2.32171887012812","2.45648453934103","2.41784288293787","2.46491892177404","2.36405846385247","2.39185168230716","2.1794578352143","2.29789132055097","2.34249461532593","2.28669158973576","2.32578011749447","2.32191449861397","2.30798575042109","2.34836346990158","2.48193860004343","2.33386739909972","2.26850792197553","2.4753403306848","2.3725599189092"
"18","2.47871911410479","2.21520307214974","2.19412019022914","2.4224787191141","2.20130464637217","2.22140840772106","2.40812797233031","2.33686834007273","2.47186617837797","2.42882013081143","2.43066046133109","2.41315562441678","2.42172415209723","2.19943541618982","2.32628875155769","2.38512384083453","2.29199484783614","2.35642895290412","2.3270008392462","2.35009282571654","2.33679204496325","2.48089897437574","2.35862863008663","2.27523754188895","2.49505353373515","2.34473945220111"
"19","2.4466315709163","2.2517956598982","2.19511929285333","2.46115307342133","2.21733933521528","2.22253522779959","2.36776422631309","2.34711500447367","2.46128023193713","2.41942691473476","2.48304976984309","2.40144306749937","2.39871824216068","2.20483329518578","2.30552083149932","2.37226927087307","2.27635996032654","2.3326975407543","2.34082932784008","2.33803428584843","2.32344040080364","2.50858319981689","2.38918135347524","2.26977950713359","2.50171663996338","2.37888151369497"
"20","2.46843289845121","2.23601892118715","2.19282317336792","2.46095325289649","2.19152252340625","2.22159621106749","2.40044759797564","2.35621096687702","2.48416876478218","2.45090409704738","2.47862002954701","2.3750667582208","2.45247695007365","2.20531013962005","2.31393530174716","2.37684697744208","2.27378500038148","2.31631952391852","2.34302281223774","2.35686492495831","2.35723277637903","2.51496424533733","2.37550273027499","2.27979959817909","2.52743257980693","2.36796544418426"
"21","2.49217975127794","2.25798310943653","2.21713588158999","2.47053737188779","2.23673785587267","2.21800782569837","2.42454120229355","2.37582970931563","2.48667560409378","2.47999796546375","2.47818253311501","2.43775590651306","2.4600595101854","2.17462860630634","2.34566379679678","2.40787365529869","2.31746395056077","2.31664650295916","2.33035782406348","2.36291040410976","2.34965461790822","2.51435982953493","2.38836390587363","2.28928925655865","2.51386516893498","2.3659622084891"
