"Excel Raw Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-04-15 jak2 group 3.rex"
"Date","4/15/2024"
"Time","11:58:08 AM"

"Operator","djn"
"Run Id",""
"Notes",""
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"HRM","7"
"Green 2","7"
"Green 3","9"

"Channel","Threshold"


"Channel Cycling A.Green"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Page 1"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 WT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 MUT"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," JAK2 NTC"," PCR NTC"," PCR NTC"
"12","2.02733712461339","2.24514708607178","2.0480877175773","2.19319829098955","2.29506588627669","2.35611035794144","2.03374151216907","2.12628601275889","2.19373871468172","2.37239642938888","2.04449094813022","2.28987055263091","2.26708374659851","2.01658873666198","2.27359426260777","2.22183096525051","2.26411187042911","2.26024261844816","2.25332156208787","2.27883955138476","1.96363266447954","2.19200935886676","2.21948342342025","2.00422166272475","2.18841301684327","2.01288297420135"
"13","2.01024897637395","2.25324890007884","2.06467282113883","2.20558262215392","2.28373061286771","2.38075954715918","2.04801505556827","2.1308637193279","2.20621981207928","2.31937132829786","2.05004959182116","2.2906652933547","2.2059967956054","2.01184334853367","2.25387491123357","2.25404364080262","2.25923283023441","2.22652604891103","2.24624540028523","2.24297449200173","1.9444062968897","2.15386180412502","2.21528300035968","1.97940032043946","2.17124982288635","2.01215635411103"
"14","2.02675023915582","2.25823987182422","2.06032008732856","2.21103227283131","2.32944228274968","2.36756440578826","2.06865386082598","2.13941023880369","2.21999694819562","2.38291425519624","2.04598051931538","2.27655069810025","2.26629173070006","2.04459994114377","2.29648279545281","2.26280395426653","2.2795888783529","2.24752676686758","2.23646397599247","2.27394639388231","1.95526759042438","2.17154955367361","2.20248722056916","2.04067619265605","2.21932936598764","2.05475445690598"
"15","2.0376516365301","2.23417512270797","2.07217517357137","2.20668932044533","2.33212351088295","2.38514574373677","2.07894636453803","2.14334761141811","2.19424734874495","2.41081646666449","2.0489814602884","2.27617655862105","2.28230088098412","2.03402761882963","2.26148877190305","2.24174105439841","2.28360799572747","2.21632206708883","2.24951891694853","2.28634644519286","1.91948958571756","2.17720810762697","2.20751096008592","2.01397290433683","2.21819227541361","2.0211528191043"
"16","2.04435680288278","2.23272188252733","2.08473452236327","2.19937002038169","2.31608476973549","2.37430380712596","2.075880936032","2.16020065613794","2.19248669237225","2.41509625899646","2.03206574458577","2.26443884946975","2.26526048911034","2.03355811046358","2.29877164873732","2.24507896543832","2.27817196917678","2.23961750718446","2.23514152742809","2.26247697522589","1.97040923522956","2.18105919410566","2.21133745326925","2.04999090327541","2.17803463797971","2.04671168078126"
"17","2.06864652475776","2.27311741817349","2.07299681321197","2.22629129472801","2.34542904261375","2.39392254956457","2.07381006877459","2.18051422903792","2.22700338241652","2.43088934665955","2.02568602019277","2.27488541061441","2.2768640530142","2.03293768869415","2.24660486762798","2.25615538044011","2.30034841433331","2.2846025569761","2.24706703992582","2.28753083594008","1.93909470402947","2.1788793338347","2.2770820390413","2.03949543500928","2.21459271127387","2.08168271798393"
"18","2.06120775158312","2.28525651505738","2.10748890996087","2.24307621881437","2.35948075728346","2.39672283160496","2.08285648889906","2.18720472325416","2.23439031404241","2.37328653899952","2.0175478751812","2.31007719677896","2.29648279545281","2.04459994114377","2.25986114290074","2.25304544645355","2.2632944228275","2.235211953683","2.26634622720684","2.28091859311818","1.95729653729196","2.21560997940032","2.23458838788434","2.02421824761033","2.21279292920401","2.06389170454174"
"19","2.06750209811551","2.28669158973576","2.1011673151751","2.2139750841971","2.33106991175199","2.44942514569431","2.09746155271447","2.1765904805502","2.20819845447907","2.4205503811821","2.05901426718547","2.29005220765349","2.30563820859083","2.05964097701337","2.3044644376757","2.27176317998016","2.25668218000559","2.25473847126399","2.25233335876504","2.3021504321573","1.94857709620813","2.19980599243588","2.26584737456791","2.06040392810821","2.24390852909965","2.05673663377001"
"20","2.10433649664595","2.28742910912744","2.09363953103939","2.21009325609921","2.37653397186471","2.46036469062333","2.06271457999542","2.20073243305104","2.25117523812877","2.42313267719539","2.10401566592915","2.31206305991575","2.32601990212427","2.09170672159915","2.29026180960262","2.29343099107347","2.27065145124197","2.23442943973958","2.26021327417528","2.27492942702373","1.99599744117941","2.18824546679891","2.27195098332658","2.02700846875715","2.25481392796568","2.08102540627146"
"21","2.06999531330042","2.27512016479744","2.11958713446468","2.26338245564613","2.35513466086824","2.47653925383383","2.09099463391063","2.15413791975934","2.29180971999695","2.48992024226632","2.07894636453803","2.36362249179828","2.37618184059017","2.00274662394141","2.33056127768877","2.31714116355911","2.28351262684062","2.26454057628239","2.28707306528318","2.3042140332138","1.99130235751888","2.2010552200527","2.23477912565804","2.03891050583658","2.2096017395285","2.07740683822167"
